store_number,recency,frequency,monetary_value
4854,3,594,77641.60000000002
4855,11,331,40228.990000000005
4856,4,457,51222.819999999992
4857,1,756,24922.600000000009
4858,43,151,11024.980000000001
4859,22,454,53990.99000000002
4861,19,684,53425.209999999992
4866,2,2183,129124.42
4867,3,741,95071.190000000017
4868,1,1128,79174.6
4872,3,1161,82447.46
4873,1,692,58351.200000000012
4876,1,1340,216043.84999999995
4877,2,3826,539927.34999999986
4879,213,808,155414.61999999994
4880,1,571,39824.759999999987
4882,11,880,55438.25
4884,4,1370,135917.15000000002
4885,12,387,41885.409999999989
4887,19,520,40670.310000000005
4888,4,1636,88096.969999999972
4890,15,655,62310.759999999987
4891,4,2344,244165.79000000007
4893,2,883,93032.83000000006
4896,1,570,65350.259999999987
4897,1,1677,146612.19999999995
4898,1,1101,93883.820000000036
4899,10,944,67858.24
4901,1,1703,387455.97999999992
4902,3,1302,166039.84999999998
4907,2,1082,132809.33000000002
4910,3,1390,210858.12000000008
4911,26,503,35340.279999999992
4912,1,655,46814.700000000026
4915,19,367,63082.31
4921,4,1518,97946.700000000055
4923,19,136,21156.30999999999
4929,1,583,64512.919999999991
4930,29,382,58125.37999999999
4932,2,1223,120892.02999999996
4933,1,201,19707.15
4934,15,393,55257.27
4937,15,341,45986.329999999987
4938,3,459,42295.24
4941,2,1328,101213.52000000002
4942,1,628,78959.11
4944,4,247,33945.21
4945,285,288,10682.129999999997
4949,4,618,68207.49
4950,12,1437,77491.909999999974
4953,22,180,23722.950000000004
4956,4,865,87047.860000000044
4960,23,973,323443.11999999982
4962,4,1439,293307.41999999987
4967,4,3259,124406.91999999995
4968,47,200,30000.079999999998
4969,2,4919,838475.77999999945
4970,3,1310,93046.310000000012
4971,2,1975,414913.22999999992
4972,1,1238,54259.799999999996
4973,4,1502,190675.83999999994
4975,11,311,65018.579999999994
4978,3,1240,147545.33000000005
4980,3,941,57088.640000000007
4981,11,363,41622.24
4982,4,237,33250.85
4983,1,194,26848.82
4985,18,236,22897.100000000002
4988,2,9696,1558397.1199999994
4989,53,239,39933.93
4991,169,121,15285.079999999994
4993,3,1945,129390.7
4997,1,1976,291115.99999999988
4998,12,838,107035.93
4999,4,1038,52573.59
5000,2,556,82026.450000000026
5003,3,1808,332375.06000000017
5004,4,1447,138672.72000000003
5005,14,792,58385.040000000037
5006,33,199,11591.01
5007,25,435,57578.040000000008
5010,4,1319,92147.169999999955
5017,1,1463,115243.46999999996
5021,3,332,32440.880000000008
5027,4,636,194945.58
5028,4,711,118510.43999999999
5029,3,1988,361222.47000000009
5035,30,313,56094.210000000014
5039,12,428,59000.39
5041,1,627,64859.950000000012
5044,1,508,81215.960000000021
5050,1,1528,245471.29999999996
5051,2,1862,168589.13999999998
5052,1,804,83234.84
5054,3,4545,465003.74999999988
5055,16,208,23966.739999999998
5056,15,277,47510.160000000011
5057,2,1536,91535.849999999977
5058,2,960,61172.680000000008
5059,14,523,42815.220000000008
5060,11,1173,126931.36999999998
